"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA_ELEICAO";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"QT_APTOS";"QT_SECOES_PRINCIPAIS";"QT_SECOES_AGREGADAS";"QT_SECOES_NAO_INSTALADAS";"QT_TOTAL_SECOES";"QT_COMPARECIMENTO";"QT_ELEITORES_SECOES_NAO_INSTALADAS";"QT_ABSTENCOES";"ST_VOTO_EM_TRANSITO";"QT_VOTOS";"QT_VOTOS_CONCORRENTES";"QT_TOTAL_VOTOS_VALIDOS";"QT_VOTOS_NOMINAIS_VALIDOS";"QT_TOTAL_VOTOS_LEG_VALIDOS";"QT_VOTOS_LEG_VALIDOS";"QT_VOTOS_NOM_CONVR_LEG_VALIDOS";"QT_TOTAL_VOTOS_ANULADOS";"QT_VOTOS_NOMINAIS_ANULADOS";"QT_VOTOS_LEGENDA_ANULADOS";"QT_TOTAL_VOTOS_ANUL_SUBJUD";"QT_VOTOS_NOMINAIS_ANUL_SUBJUD";"QT_VOTOS_LEGENDA_ANUL_SUBJUD";"QT_VOTOS_BRANCOS";"QT_TOTAL_VOTOS_NULOS";"QT_VOTOS_NULOS";"QT_VOTOS_NULOS_TECNICOS";"QT_VOTOS_ANULADOS_APU_SEP";"HH_ULTIMA_TOTALIZACAO";"DT_ULTIMA_TOTALIZACAO"
"17/09/2024";"03:39:35";2022;2;"Eleição Ordinária";1;546;"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"MT";"MT";"MATO GROSSO";"90336";"BARRA DO BUGRES";13;7;"Deputado Estadual";24062;75;8;0;83;17886;0;6176;"N";17886;16776;16771;15734;1037;1037;0;0;0;0;5;5;0;667;443;413;30;0;"15:44:08";"12/12/2022"
"17/09/2024";"03:39:35";2022;2;"Eleição Ordinária";1;546;"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"MT";"MT";"MATO GROSSO";"91170";"NOBRES";3;7;"Deputado Estadual";11637;39;8;0;47;9155;0;2482;"N";9155;8697;8684;8173;511;511;0;1;1;0;12;12;0;276;182;176;6;0;"15:44:06";"12/12/2022"
"17/09/2024";"03:39:35";2022;2;"Eleição Ordinária";1;546;"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"MT";"MT";"MATO GROSSO";"90506";"CAMPO VERDE";12;6;"Deputado Federal";31570;86;3;0;89;24085;0;7485;"N";24085;21957;21953;21144;809;809;0;4;4;0;0;0;0;1421;707;706;1;0;"15:44:11";"12/12/2022"
"17/09/2024";"03:39:35";2022;2;"Eleição Ordinária";1;546;"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"MT";"MT";"MATO GROSSO";"90077";"ALTO GARÇAS";45;3;"Governador";8253;31;0;0;31;6213;0;2040;"N";6213;5123;5123;5123;0;0;0;0;0;0;0;0;0;391;699;699;0;0;"18:53:16";"02/10/2022"
"17/09/2024";"03:39:35";2022;2;"Eleição Ordinária";1;546;"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"MT";"MT";"MATO GROSSO";"99074";"INDIAVAÍ";41;3;"Governador";1932;9;0;0;9;1518;0;414;"N";1518;1347;1347;1347;0;0;0;0;0;0;0;0;0;41;130;130;0;0;"19:13:29";"02/10/2022"
"17/09/2024";"03:39:35";2022;2;"Eleição Ordinária";1;546;"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"MT";"MT";"MATO GROSSO";"89958";"RIO BRANCO";52;3;"Governador";3977;13;7;0;20;3030;0;947;"N";3030;2622;2622;2622;0;0;0;0;0;0;0;0;0;117;291;291;0;0;"19:44:23";"02/10/2022"
"17/09/2024";"03:39:35";2022;2;"Eleição Ordinária";1;546;"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"MT";"MT";"MATO GROSSO";"90662";"RIBEIRÃO CASCALHEIRA";31;7;"Deputado Estadual";7293;26;1;0;27;5150;0;2143;"N";5150;4947;4942;4605;337;337;0;2;2;0;3;3;0;123;80;68;12;0;"15:44:08";"12/12/2022"
"17/09/2024";"03:39:35";2022;2;"Eleição Ordinária";1;546;"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"MT";"MT";"MATO GROSSO";"90352";"BARRA DO GARÇAS";9;7;"Deputado Estadual";47582;141;73;0;214;34222;0;13360;"N";34222;31202;31161;29550;1611;1611;0;32;32;0;9;9;0;1786;1234;995;239;0;"15:43:54";"12/12/2022"
"17/09/2024";"03:39:35";2022;2;"Eleição Ordinária";1;546;"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"MT";"MT";"MATO GROSSO";"90921";"SERRA NOVA DOURADA";53;6;"Deputado Federal";1624;5;0;0;5;1156;0;468;"N";1156;1130;1130;1082;48;48;0;0;0;0;0;0;0;14;12;12;0;0;"15:44:20";"12/12/2022"
"17/09/2024";"03:39:35";2022;2;"Eleição Ordinária";1;546;"Eleições Gerais Estaduais 2022";"02/10/2022";"E";"MT";"MT";"MATO GROSSO";"89877";"ALTA FLORESTA";24;6;"Deputado Federal";41455;119;24;0;143;30687;0;10768;"N";30687;27775;27770;26506;1264;1264;0;5;5;0;0;0;0;1923;989;988;1;0;"15:44:08";"12/12/2022"
